step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,850,2,1.4376031805530622,0.0,0.720626631853786
2,1716,4,1.4376970436426035,0.0,0.7169811320754716
3,2550,6,1.2220518811078716,0.0,0.7569352708058125
4,3384,8,0.9317336536350326,0.0,0.7923280423280423
5,4234,10,0.9083256688622577,0.0,0.802547770700637
6,5052,12,0.6251464183895613,0.0,0.8473895582329317
7,5902,14,0.46075743545819103,0.0,0.8783958602846055
8,6736,16,0.302250378301833,0.0,0.9434210526315789
9,7570,18,0.30719643857801643,0.0,0.9369250985545335
10,8388,20,0.32031456554693544,0.0,0.929144385026738
11,9222,22,0.1641738160088841,0.0,0.9525065963060686
12,10040,24,0.11223314765845924,0.0,0.9732620320855615
13,10874,26,0.12814617814475718,0.0,0.9672774869109948
14,11708,28,0.2333059880613688,0.0,0.945910290237467
15,12510,30,0.10353407291668361,0.0,0.9767441860465116
16,13328,32,0.12513732130871372,0.0,0.9694555112881806
17,14146,34,0.19616780191637612,0.0,0.9618421052631579
18,14964,36,0.11736725456182973,0.0,0.9704301075268817
19,15782,38,0.17343003991589268,0.0,0.9583333333333334
20,16600,40,0.18180389457275256,0.0,0.9552631578947368
21,17402,42,0.07218451872202368,0.0,0.9742547425474255
22,18220,44,0.13980025448010794,0.0,0.9667994687915007
23,19054,46,0.11384317539012122,0.0,0.9647058823529412
24,19872,48,0.13687208301498233,0.0,0.9746328437917223
25,20722,50,0.10049008366553192,0.0,0.9750328515111695
26,21556,52,0.17580537390672873,0.0,0.9464751958224543
27,22406,54,0.17961605709975842,0.0,0.9586028460543338
28,23240,56,0.15902669699185995,0.0,0.9594771241830066
29,24122,58,0.14247908632369952,0.0,0.9626865671641791
30,24924,60,0.05741913303471124,0.0,0.9850136239782016
31,25774,62,0.12506373602421356,0.0,0.9730769230769231
32,26608,64,0.14825750362533235,0.0,0.9630118890356671
33,27442,66,0.10532383707274572,0.0,0.9762845849802372
34,28276,68,0.041854287059749584,0.0,0.9894459102902374
35,29078,70,0.06356612888488376,0.0,0.9825268817204301
36,29912,72,0.10058083862420976,0.0,0.9682539682539683
37,30714,74,0.03691122636615925,0.0,0.9892183288409704
38,31564,76,0.08389438615618003,0.0,0.9764089121887287
39,32366,78,0.07402395377270658,0.0,0.981029810298103
40,33200,80,0.106501669516786,0.0,0.9673202614379085
41,34050,82,0.06569679992180537,0.0,0.9725130890052356
42,34900,84,0.15556539660487928,0.0,0.9636835278858625
43,35702,86,0.07666635901798036,0.0,0.9851551956815114
44,36520,88,0.0894599781593687,0.0,0.9733688415446072
45,37370,90,0.13506004962341497,0.0,0.9659239842726082
46,38188,92,0.05897257390232271,0.0,0.9827127659574468
47,38990,94,0.045118244124354466,0.0,0.986468200270636
48,39808,96,0.09693112981754808,0.0,0.9757738896366084
49,40658,98,0.0941026750245127,0.0,0.9751958224543081
50,41476,100,0.07776361414307734,0.0,0.9840637450199203
51,42294,102,0.062464602181837754,0.0,0.9786096256684492
52,43144,104,0.07336480208524811,0.0,0.979002624671916
53,43978,106,0.10578152314951174,0.0,0.9691119691119691
54,44812,108,0.09251822406847733,0.0,0.9764089121887287
55,45646,110,0.13898836825129518,0.0,0.9685863874345549
56,46464,112,0.05984747003783369,0.0,0.9854689564068693
57,47362,114,0.14396646129600707,0.0,0.9603960396039604
58,48180,116,0.06945390403955183,0.0,0.9719251336898396
59,48998,118,0.12441408976474895,0.0,0.9639519359145527
60,49816,120,0.09338720226411223,0.0,0.9732620320855615
61,50634,122,0.12553335086335085,0.0,0.9735449735449735
62,51452,124,0.05527022783123595,0.0,0.9828042328042328
63,52270,126,0.057016679099071314,0.0,0.9826666666666667
64,53120,128,0.08453626741225578,0.0,0.9680306905370843
65,53906,130,0.08720957652814101,0.0,0.977961432506887
66,54740,132,0.12146985936626055,0.0,0.9598445595854922
67,55574,134,0.12578893152169385,0.0,0.9646596858638743
68,56376,136,0.11002831861086625,0.0,0.9663526244952894
69,57226,138,0.14127522335113754,0.0,0.9612903225806452
70,58028,140,0.1618241985418231,0.0,0.9646739130434783
71,58862,142,0.1058601101562743,0.0,0.9756410256410256
72,59648,144,0.022538802185887948,0.0,0.997275204359673
73,60466,146,0.09426291166701556,0.0,0.976063829787234
74,61316,148,0.04195313455259431,0.0,0.9868938401048493
75,62150,150,0.0883769224666111,0.0,0.9749670619235836
76,63000,152,0.09184884185425848,0.0,0.9819819819819819
77,63818,154,0.07667158807577373,0.0,0.9764089121887287
78,64684,156,0.08692432508911582,0.0,0.9705882352941176
79,65486,158,0.10175611456182511,0.0,0.9784075573549258
80,66320,160,0.10769100158133381,0.0,0.9763779527559056
81,67154,162,0.09891172991076523,0.0,0.972
82,67988,164,0.04643786495937062,0.0,0.9854304635761589
83,68854,166,0.08307937262145373,0.0,0.9785894206549118
84,69688,168,0.06564636897956243,0.0,0.981675392670157
85,70506,170,0.050288827903081895,0.0,0.9839357429718876
