doi,compound name,formula,group,organic,inorganic,iupac,dimensionality,sample type,code,level of theory,Exchange-correlation functional,k-point grid,level of relativity,basis set definition,numerical accuracy,synthesis starting materials,synthesis product,synthesis description,experimental method,experimental description
10.1002/adfm.201903528,Methylammonium germanium bromide,CH6NGeBr3,"Methanaminium tribromogermanate(II), MAGeBr3, CH3NH3GeBr3",CH6N,"GeBr3, Germanium bromide",methanaminium germanium bromide,3,powder,,,,,,,,"HBr, H3PO2, GeO2, CH3NH3Br",CH3NH3GeBr3,"All operations were carried out under high purity nitrogen. A two-neck flask was charged with a mixture of 48% w/w aqueous HBr (3.0 mL, 55.2 mmol) and 50% w/w aqueous H3PO2(2.0 mL, 18.2 mmol). GeO2 powder (209 mg, 2 mmol) was dissolved in the mixture by heating the flask to 140 °C in an oil bath, under constant magnetic stirring for about 20 min, which formed a bright pale-yellow solution. Subsequently, a stoichiometric amount of solid CH3NH3Br (224 mg, 2 mmol) was added to the hot solution and dissolved then. 20 min later, the stirring was discontinued, and the solution was left to cool down to room temperature. Upon cooling, lemon yellow, granular crystals were precipitated. After being kept in the solution overnight, the crystals were collected by suction filtration and dried under reduced pressure",,
10.1002/adfm.201903528,Butylammonium germanium bromide,C4H12NGeBr4,"Butan-1-aminium tetrabromogermanate(II), BA2GeBr4",C4H12N,"GeBr4, Germanium bromide",butan-1-aminium germanium bromide,2,single crystal,,,,,,,,"HBr, H3PO2, GeO2, n−  CH3(CH2)3NH2, n−  CH3(CH2)3NH3Br",C4H12NGeBr4,"A two-neck flask was charged with a mixture of 48% w/w aqueous HBr (2.0 mL, 36.8 mmol) and 50% w/w aqueous H3PO2 (3.0 mL, 27.3 mmol). GeO2 powder (209 mg, 2 mmol) was dissolved in the mixture by heating the flask to 140 °C in an oil bath, under constant magnetic stirring for about 20 min, which formed a bright pale-yellow solution. In a separate flask, n− CH3(CH2)3NH2(197 μL, 2 mmol) was neutralized with 48% w/w aqueous HBr (2 mL, 36.8 mmol) in an ice bath, resulting a transparent solution. The n− CH3(CH2)3NH3Br solution was then added dropwise into the two-neck flask. After being gradually heated to about 160 °C in 30 min, the stirring was discontinued, and the solution was left to cool down to freezing temperature, resulting in the precipitation of white lamellar crystals. After being kept in the solution overnight, the crystals were collected by suction filtration and dried under reduced pressure.",,
10.1002/adma.201505002,Formamidinium lead iodide,CH5N2PbI3,"Methanimidamide triiodoplumbate(II), FAPI, FAPbI3, HC(NH2)2PbI3, (NH2)2CHPbI3",CH5N2,"PbI3, Lead iodide",Imidoformamidinium lead(II) iodide,3,single crystal,,,,,,,,"Lead (II) acetate trihydrate (Pb(ac) 2·3H2O, 99%), fomamidine acetate salt (FAac, 99%), lead iodide (PbI2 , 99.999%), hydriodic acid (HI) (57% w/w aq. soln., stabilized with H3PO2), and gamma-butyrolactone (GBL, 99%) were purchased from Sigma-Aldrich",FAPbI3 Single-crystal 5 mm yellow,"Synthesis of Seed Crystal of FAPbI3: 
Dissolve 2.5 g Pb(ac)2 ·3H2O in 15 mL of HI in a 100 mL flask in a 105 °C oil bath. Add 1.5 mL HI solution and 0.7 g of FAac to the mixed acid solution. Decrease the temperature of the mixed solution to 70 °C; maintain temperature for 6 h for the precipitation of seed crystal FAPbI3 (≈1 mm in size). Wash crystals with diethyl ether and dry in vacuum. 

Synthesis of Single Crystal FAPbI3: 
Dissolve 1.0 M solution containing PbI2 and FAI (1:1) was in GBL at 60 °C overnight. Filter the solution using PTFE filter with 0.2 µm pore size. Place seed crystals into this GBL solution in oil bath ≈100–105 °C for 3 h to grow larger crystals. Replace with fresh precursor to obtain an even larger crystal. Repeat this process three times to obtain a large single crystal FAPbI3 in alpha phase. The crystals turn to the yellow delta-phase in 10 days.

Refer to Page 2257 Experimental section.",Photoluminescence,NKT SuperK Extreme laser with an excitation of 475 nm and New Focus Si fW detector. Refer to SI Figure S5.
10.1002/adma.201505002,Formamidinium lead iodide,CH5N2PbI3,"Methanimidamide triiodoplumbate(II), FAPI, FAPbI3, HC(NH2)2PbI3, (NH2)2CHPbI3",CH5N2,"PbI3, Lead iodide",Imidoformamidinium lead(II) iodide,3,single crystal,,,,,,,,"Lead (II) acetate trihydrate (Pb(ac) 2·3H2O, 99%), fomamidine acetate salt (FAac, 99%), lead iodide (PbI2 , 99.999%), hydriodic acid (HI) (57% w/w aq. soln., stabilized with H3PO2), and gamma-butyrolactone (GBL, 99%) were purchased from Sigma-Aldrich",FAPbI3 Single-crystal 5 mm black,Synthesis of Seed Crystal of FAPbI3: Dissolve 2.5 g Pb(ac)2 ·3H2O in 15 mL of HI in a 100 mL flask in a 105 °C oil bath. Add 1.5 mL HI solution and 0.7 g of FAac to the mixed acid solution. Decrease the temperature of the mixed solution to 70 °C; maintain temperature for 6 h for the precipitation of seed crystal FAPbI3 (≈1 mm in size). Wash crystals with diethyl ether and dry in vacuum. Synthesis of Single Crystal FAPbI3: Dissolve 1.0 M solution containing PbI2 and FAI (1:1) was in GBL at 60 °C overnight. Filter the solution using PTFE filter with 0.2 µm pore size. Place seed crystals into this GBL solution in oil bath ≈100–105 °C for 3 h to grow larger crystals. Replace with fresh precursor to obtain an even larger crystal. Repeat this process three times to obtain a large single crystal FAPbI3 in alpha phase.,Photoluminescence,"Horiba Jobin Yvon system. Refer to Page 2255 paragraph 1, Figure 2."
10.1002/adma.201505002,Formamidinium lead iodide,CH5N2PbI3,"Methanimidamide triiodoplumbate(II), FAPI, FAPbI3, HC(NH2)2PbI3, (NH2)2CHPbI3",CH5N2,"PbI3, Lead iodide",Imidoformamidinium lead(II) iodide,3,film,,,,,,,,"Lead iodide (PbI2 , 99.999%) were purchased from Sigma-Aldrich, formamidinium iodide (FAI) was purchased from Dyesol Limited (Australia), dimethylformamide, ITO",FAPbI3 Thin film on ITO,Dissolve 450 mg of PbI2 in 1 mL dimethylformamide and spincoat on indium-tin-oxide (ITO) substrates at 2500 rpm for 30 s. Spincoat FAI (dissolved in 2-propanol) on top of dried PbI2 at room temperature at 3000 rpm for 30 s in dry air. Anneal films in air at 150 °C for desired time.,Photoluminescence,[ASSUMED] Horiba Jobin Yvon system. Refer to SI Figure S3.
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,single crystal,,,,,,,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","Cyclohexylammonium bromide (20 mmol, 3.60 g), and PbBr2 (10 mmol, 3.67 g) were dissolved in HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Crystals of (CHA)2PbBr4 were obtained by cooling the solution at a rate of 0.125 K/h.",Single crystal X-ray diffraction,
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,single crystal,,,,,,,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","Cyclohexylammonium bromide (20 mmol, 3.60 g), and PbBr2 (10 mmol, 3.67 g) were dissolved in HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Crystals of (CHA)2PbBr4 were obtained by cooling the solution at a rate of 0.125 K/h.",Single crystal X-ray diffraction,
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,single crystal,,,,,,,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","Cyclohexylammonium bromide (20 mmol, 3.60 g), and PbBr2 (10 mmol, 3.67 g) were dissolved in HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Crystals of (CHA)2PbBr4 were obtained by cooling the solution at a rate of 0.125 K/h.",Physical Properties Measurement,"Measured with precision impedance analyzer (Model: Agilent 4294A, Santa Clara, CA). Measured at 1 MHz."
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,bulk polycrystalline,,,,,,,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","Cyclohexylammonium bromide (20 mmol, 3.60 g), and PbBr2 (10 mmol, 3.67 g) were dissolved in HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Crystals of (CHA)2PbBr4 were obtained by cooling the solution at a rate of 0.125 K/h.",UV-vis absorption (diffuse reflectance),
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,unknown,CASTEP Program,DFT,GGA-PBE,3x3x3,,Norm-conserving pseudopotential,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","First, CHA was synthesized by mixing Cyclohexylammonium bromide (20 mmol, 3.60 g), PbBr2 (10 mmol, 3.67 g) and HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Finally, large, pale yellow crystals of (CHA)2PbBr3 were obtained by cooling the solution at a rate of 0.125 K/h",,
