Refs.,PCE [%],initial PCE [%],PCE after 200 h test [%],PCE after 100 h test [%],PCE after 1000 h test [%],average visible transmittance [%],Absorber,Absorber blend,Absorber material,Inorganic absorber material,Absorber perovskite,Active material,Bottom material bandgap [eV],Bottom active absorber material,Bottom absorber material,conditions of stability tests,Dye sensitizer,Energy yield in 200 h [Wh cm-2],Energy yield in 1000 h [Wh cm-2],Bandgap [eV],Top material bandgap of tandem solar cell  [eV],Bottom absorber material bandgap [eV],middle and top material bandgap of multijunction solar cell  [eV],fill factor [%],Jsc [mA cm−2],Luminophore and absorber material of solar cell with luminescent concentrator,middle and top absorber material of multijunction solar cell,middle and top absorber of multijunction solar cell,Sensitizing dye,Top absorber material of tandem solar cell,Top absorber of tandem solar cell,Voc [mV]
"T. Jiang, Z. Chen, X. Chen, T. Liu, X. Chen, W. E. I. Sha, H. Zhu, Y. Yang, Sol. RRL 2020, 4, 1900467.",20.7,,,,,,,,,,(FASnI3)0.6(MAPbI3)0.4,,,,,,,,,1.25,,,,80.2,30.6,,,,,,,843
"J. Tong, Z. Song, D. H. Kim, X. Chen, C. Chen, A. F. Palmstrom, P. F. Ndione, M. O. Reese, S. P. Dunfield, O. G. Reid, J. Liu, F. Zhang, S. P. Harvey, Z. Li, S. T. Christensen, G. Teeter, D. Zhao, M. M. Al-Jassim, M. F. A. M. van Hest, M. C. Beard, S. E. Shaheen, J. J. Berry, Y. Yan, K. Zhu, Science 2019, 364, 475.",20.4,,,,,,,,,,GuaSCN:(FASnI3)0.6(MAPbI3)0.4,,,,,,,,,1.26,,,,80.2,30.5,,,,,,,834
"C. Li, Z. Song, D. Zhao, C. Xiao, B. Subedi, N. Shrestha, M. M. Junda, C. Wang, C.-S. Jiang, M. Al-Jassim, R. J. Ellingson, N. J. Podraza, K. Zhu, Y. Yan, Adv. Energy Mater. 2019, 9, 1803135.",19,,,,,,,,,,(FASnI3)0.6(MAPbI3)0.34(MAPbBr3)0.06,,,,,,,,,1.26,,,,74.5,28.8,,,,,,,888
"R. Lin, K. Xiao, Z. Qin, Q. Han, C. Zhang, M. Wei, M. I. Saidaminov, Y. Gao, J. Xu, M. Xiao, A. Li, J. Zhu, E. H. Sargent, H. Tan, Nat. Energy 2019, 4, 864.",20.9,,,,,,,,,,MA0.3FA0.7Pb0.5Sn0.5I3,,,,,,,,,1.27,,,,80.5,31.4,,,,,,,827
"Z. Yang, Z. Yu, H. Wei, X. Xiao, Z. Ni, B. Chen, Y. Deng, S. N. Habisreutinger, X. Chen, K. Wang, J. Zhao, P. N. Rudd, J. J. Berry, M. C. Beard, J. Huang, Nat. Commun. 2019, 10, 4498.",20.3,,,,,,,,,,FA0.5MA0.45Cs0.05Pb0.5Sn0.5I3,,,,,,,,,1.28,,,,79.1,30.2,,,,,,,850
"G. Kapil, T. Bessho, C. H. Ng, K. Hamada, M. Pandey, M. A. Kamarudin, D. Hirotani, T. Kinoshita, T. Minemoto, Q. Shen, T. Toyoda, T. N. Murakami, H. Segawa, S. Hayase, ACS Energy Lett. 2019, 4, 1991.",18.4,,,,,,,,,,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,,,,,,,,,1.28,,,,72,32.8,,,,,,,780
"S. Shao, Y. Cui, H. Duim, X. Qiu, J. Dong, G. H. ten Brink, G. Portale, R. C. Chiechi, S. Zhang, J. Hou, M. A. Loi, Adv. Mater. 2018, 30, 1803703.",16,,,,,,,,,,FASn0.5Pb0.5I3,,,,,,,,,1.29,,,,70.8,29.3,,,,,,,771
"T. S. Ripolles, D. Yamasuso, Y. Zhang, M. A. Kamarudin, C. Ding, D. Hirotani, Q. Shen, S. Hayase, J. Phys. Chem. C 2018, 122, 27284.",15.9,,,,,,,,,,(FASnI3)0.6(MAPbI3)0.3(MAPbBr3)0.1,,,,,,,,,1.29,,,,78,26.5,,,,,,,770
"M. Liu, Z. Chen, Z. Chen, H.-L. Yip, Y. Cao, Mater. Chem. Front. 2019, 3, 496.",13.8,,,,,,,,,,FA0.5MA0.5Pb0.5Sn0.5I3,,,,,,,,,1.3,,,,72.1,29,,,,,,,660
"Y. Wang, J. Tu, T. Li, C. Tao, X. Deng, Z. Li, J. Mater. Chem. A 2019, 7, 7683.",5,,,,,,,,,,CsSnI3,,,,,,,,,1.31,,,,50.3,23.8,,,,,,,420
