doi,Electrical resistivity (Ωcm),Seebeck coefficient (μCV/K),ZT (thermoelectric figure of merit) ,formula,synthesis,form,temperature,Thermal conductivity (W/mK),Average atomic mass (g/mol),Scarcity (wt fraction/abundance),HHIP (Herfindahl?Hirschman Index for elemental production),HHIR (Herfindahl?Hirschman Index for elemental reserves),Unit cell volume (Å³),Average atomic volume (Å³),Atoms per unit cell,Electrical conductivity (Ω⁻¹ cm⁻¹),Power Factor (W/(K²m)),S² (μV/K)²,Electronic fraction of thermal conductivity (ϰₑ/ϰ)
10.1002/adfm.201000970,0.457,470,0.01,Ca5Al2Sb6,"solid state reaction, Ar",polycrystalline,300,1.54,75.76,3709000,6736,2896,770.68,29.642,26,2.188,4.83E-05,221000,0.00104
10.1002/adfm.201000970,0.033,193,0.03,Ca4.95Na0.05Al2Sb6,"solid state reaction, Ar",polycrystalline,300,1.49,75.7,3712000,6735,2896,770.68,29.642,26,30.1,0.000112,37200,0.015
10.1002/adfm.201000970,0.00506,143,0.12,Ca4.75Na0.25Al2Sb6,"solid state reaction, Ar",polycrystalline,300,1.45,75.43,3725000,6732,2896,770.68,29.642,26,198,0.000402,20400,0.1
10.1002/adfm.201000970,0.409,463,0.02,Ca5Al2Sb6,"solid state reaction, Ar",polycrystalline,400,1.23,75.76,3709000,6736,2896,770.68,29.642,26,2.445,5.24E-05,214000,0.00194
10.1002/adfm.201000970,0.022,220,0.09,Ca4.95Na0.05Al2Sb6,"solid state reaction, Ar",polycrystalline,400,1.2,75.7,3712000,6735,2896,770.68,29.642,26,44.6,0.000216,48400,0.036
10.1002/adfm.201000970,0.00544,161,0.19,Ca4.75Na0.25Al2Sb6,"solid state reaction, Ar",polycrystalline,400,1.16,75.43,3725000,6732,2896,770.68,29.642,26,184,0.000476,25900,0.155
10.1002/adfm.201000970,0.235,390,0.05,Ca5Al2Sb6,"solid state reaction, Ar",polycrystalline,700,0.764,75.76,3709000,6736,2896,770.68,29.642,26,4.257,6.48E-05,152000,0.00952
10.1002/adfm.201000970,0.018,262,0.26,Ca4.95Na0.05Al2Sb6,"solid state reaction, Ar",polycrystalline,700,0.833,75.7,3712000,6735,2896,770.68,29.642,26,55.2,0.000378,68500,0.113
10.1002/adfm.201000970,0.00733,201,0.39,Ca4.75Na0.25Al2Sb6,"solid state reaction, Ar",polycrystalline,700,0.82,75.43,3725000,6732,2896,770.68,29.642,26,136,0.00055,40300,0.284
10.1002/adfm.201000970,0.00939,207,0.46,Ca4.75Na0.25Al2Sb6,"solid state reaction, Ar",polycrystalline,1000,0.703,75.43,3725000,6732,2896,770.68,29.642,26,106,0.000456,42800,0.37
