Formula,Formula units per cell,Atomic sites per cell,Crystal system,Formation energy (eV/atom),Energy relative to convex hull (eV/atom),Structure search,Averaged magnetic moment (μB/atom),"Magnetic polarization, Js</(T)",Magnetic easy axis,Magnetic anisotropy constants:Ka-c,Magnetic anisotropy constants:Kb-c (MJ/m3),Magnetic anisotropy constants:Kb-a (MJ/m3),Magnetic anisotropy constants:Kd-a (MJ/m3),"Curie temperature, TC(K)",Methods,References
Fe2Si,4,12,tetragonal,-0.361,0.023,AGA search,0.69,0.75,ab plane,-0.13,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si2,2,10,tetragonal,-0.402,0.033,AGA search,0.42,0.46,c,0.21,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si2,4,20,monoclinic,-0.39,0.045,AGA search,0.47,0.5,c,0.25,0.17,-0.08,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si,8,32,orthorhombic,-0.279,0.041,AGA search,1.04,1.11,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe6Si,4,28,orthorhombic,-0.167,0.016,AGA search,1.55,1.63,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si2,8,40,monoclinic,-0.421,0.014,AGA search,0.41,0.45,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si2,4,36,orthorhombic,-0.275,0.009,AGA search,1.32,1.4,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe4Si3,2,14,tetragonal,-0.392,0.064,AGA search,0.36,0.4,c,0.9,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
FeSi,1,2,cubic,-0.484,0.027,AGA search,0,0,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe2Si,8,24,orthorhombic,-0.378,0.006,AGA search,0.69,0.75,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe2Si,4,12,tetragonal,-0.374,0.01,AGA search,0.71,0.77,c,0.09,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe2Si,8,24,monoclinic,-0.363,0.021,AGA search,0.68,0.74,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe2Si,4,12,monoclinic,-0.362,0.021,AGA search,0.66,0.72,b,-0.06,-0.08,-0.02,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe3Si2,8,40,monoclinic,-0.421,0.014,AGA search,0.41,0.45,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
Fe7Si2,4,36,orthorhombic,-0.276,0.009,AGA search,1.33,1.4,.,.,.,.,.,.,DFT,https://doi.org/10.1063/1.5036992
