MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker [O-]C(=O)C=CC(=O)[O-], [O-]C(=O)[CH][CH]C(=O)[O-], nodes [Co], topology ",Co2 H4 C8 O8,0.724853926,,,,,,,
"linker [O-]C=O, nodes [Co], topology pcu,nbo",Co2 H6 C6 O12,0.85097406,,,,,,,
"linker [N]1C=NN=C1, nodes [Cu], topology lim,",Cu4 H8 C8 N12,0.676886037,,,,,,,
"linker [O-]C(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-], nodes [Cd], topology ths",Cd3 H6 C18 O12,0.608760737,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes O, [Co], topology rna",Co2 H12 C16 O10,0.847654495,,,,,,,
"linker [O-]C(=O)CC(=O)[O-], nodes [Cu], topology pcu",Cu4 H8 C12 O16,0.723035059,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Cu], topology pts",Cu2 H4 C20 O16,0.808027702,,,,,,,
"linker [O-]C(=O)c1nc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Cd], topology ",Cd4 H2 C18 N2 O16,0.575099801,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni], topology lvt,the",Ni2 H4 C20 O16,0.817186976,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Co], topology pcu,",Co2 H4 C20 O16,0.795803138,,,,,,,
"linker NCCN, [C]#N, nodes [Cd], topology cdq",Cd4 H16 C12 N12,0.701243308,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Al], [O], topology rna",Al2 H4 C20 O18,0.931354395,,,,,,,
"linker [N]1=CN=NC=1, [O-]C(=O)C(=O)[O-], nodes [Zn], topology ",Zn4 H8 C12 N12 O8,0.720706418,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Co], topology ",Co4 H4 C20 O16,0.724504144,,,,,,,
"linker [N]1C=NN=C1, nodes [OH], [Zn], topology pcu",Zn8 H12 C8 N12 O4,0.642031443,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cd], [O], topology ",Cd4 H6 C18 N8 O10,0.591632576,,,,,,,
"linker N#N, [C]#[C], n1ccc(cc1)c1ccncc1, nodes [Cu], topology dia",Cu2 H16 C22 N6,0.876427721,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)P(=O)([O])[O])C(=O)[O-], nodes [Zn][OH]([Zn][OH]([Zn])[Zn])[Zn], topology pcu",Zn5 P2 H8 C16 O16,0.694355732,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C1=NN=N[N]1)C(=O)[O-], nodes [Cu], [OH], topology ",Cu4 H8 C18 N8 O10,0.718767158,,,,,,,
"linker [O-]C(=O)C1CCC(CC1)C(=O)[O-], nodes [Ni]O[Ni]O[Ni], topology sql",Ni3 H20 C16 O10,0.798729637,,,,,,,
"linker N1=C[C](N[N]1)c1ccc(cc1)c1[nH]nnc1, nodes [Cu], topology pts,",Cu2 H16 C20 N12,0.84624624,,,,,,,
"linker [O-]C(=O)[C]1C[C](C[C](C1)C(=O)O)C(=O)[O-], nodes [Ni][OH][Ni][OH][Ni], topology lim,pcu",Ni3 H16 C18 O14,0.860334193,,,,,,,
"linker [O-]C=O, nodes [Fe], topology pcu",Fe4 H12 C12 O24,0.674034815,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cu], topology pcu",Cu6 H6 C24 O18,0.689623696,,,,,,,
