Material,Space group,Point group,Structure Type,Polar structural phase transition,Superconducting transition,Magnetic ordering transition,Subclass,Reference (DOI)
BaTiO3 (La-doped),P4mm,4mm,perovskite,Yes,,,DDF,10.1038/s41598-017-04635-3
BaTiO3-d,P4mm,4mm,perovskite,Yes,,,DDF,10.1103/PhysRevLett.104.147602
PbTiO3-d,P4mm,4mm,perovskite,P,,,EPM,10.1103/PhysRevB.94.224107
PbTi(1-x)NbxO3,P4mm,4mm,perovskite,,,,EPM,10.1103/PhysRevB.96.165206
BiFeO3-d,R3c,3m,perovskite,P,,Yes,EPM,10.1103/PhysRevB.93.174110
Sr(1-x)CaxTiO3-d,P4mm,4mm,perovskite,Yes,Yes,,DPM,10.1038/NPHYS4085
BaMnO3 (n-doped),Amm2,mm2,perovskite,P,,,EPM,10.1103/PhysRevB.97.054107
BiAlO3 (n-doped),P4mm,4mm,perovskite,P,,,EPM,10.1103/PhysRevB.97.054107
BaTiO3/SrTiO3/LaTiO3,mm4*,4mm,perovskite,,,,IPM,10.1038/s41467-018-03964-9
LaAlO3/Ba0.2Sr0.8TiO3/SrTiO3,unknown,unknown,perovskite,,,,IPM,10.1038/s42005-019-0227-4
LaFeO3/YFeO3 (n-doped),Pmc2_1,mm2,perovskite,P,,,IPM,10.1103/PhysRevB.97.054107
NdNiO3 on (111) LaAlO3,Pc,m,perovskite,,,,PM,10.1038/nature17628
LaNiO3 on (111) LaAlO3,Pc,m,perovskite,,,,PM,10.1038/nature17628
LiOsO3,R3c,3m,LiNbO3-type,Yes,,,DPM,10.1038/NMAT3754
LiNbO3 (n-doped),R3c,3m,LiNbO3-type,P,,,DDF,10.1103/PhysRevMaterials.3.054405
MgReO3,R3c,3m,LiNbO3-type,P,,,PM,10.1103/PhysRevB.90.094108
TiGaO3,R3c,3m,LiNbO3-type,P,,,PM,10.1103/PhysRevB.90.094108
Ca3Ru2O7,Bb2_1m,mm2,Ruddlesden-Popper,,,Yes,PM,10.1021/acs.nanolett.8b00633
"(Sr,Ca)Ru2O6",Pmc2_1,mm2,perovskite,P,,Yes,PM,10.1088/0953-8984/26/26/265501
Bi5Ti5O17,Pm2_1n,mm2,layered perovskite,P,,,APM,10.1038/ncomms11211
BiPbTi2O6,Pmm2,mm2,post-perovskite,P,,,PM,10.1038/s43246-019-0005-6
La2Ti2O7 (n-doped),P2_1,2,layered perovskite,P,,,EPM,10.1103/PhysRevB.97.054107
Sr2Nb2O7 (n-doped),Cmc2_1,mm2,layered perovskite,P,,,EPM,10.1103/PhysRevB.97.054107
MgCNi3,P4mm,4mm,BaNiSn3-type,P,,,PM,10.1103/PhysRevMaterials.2.125004
ZnCNi3,P4mm,4mm,BaNiSn3-type,P,,,PM,10.1103/PhysRevMaterials.2.125004
CdCNi3,P4mm,4mm,BaNiSn3-type,P,,,PM,10.1103/PhysRevMaterials.2.125004
