smiles,inchi,selfies,iupac,lipophilicity
Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,"InChI=1S/C19H21ClN4/c1-22-18-5-3-2-4-17(18)21-19(22)14-23-10-12-24(13-11-23)16-8-6-15(20)7-9-16/h2-9H,10-14H2,1H3",[C][N][C][Branch2][Ring1][#Branch1][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][C][=C][C][=C][C][=C][Ring2][Ring1][#Branch1][Ring1][=Branch1],2-[[4-(4-chlorophenyl)piperazin-1-yl]methyl]-1-methylbenzimidazole,3.54
COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",[C][O][C][=Branch1][C][=O][C@@H1][Branch1][=C][N][C][C][C][S][C][=C][C][=Ring1][Branch1][C][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],"methyl (2s)-2-(2-chlorophenyl)-2-(6,7-dihydro-4h-thieno[3,2-c]pyridin-5-yl)acetate",3.69
OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,"InChI=1S/C19H18ClN3O4S/c20-16-7-11-6-13(22-18(11)28-16)17(26)21-14-5-10-3-1-2-4-15(10)23(19(14)27)8-12(25)9-24/h1-4,6-7,12,14,22,24-25H,5,8-9H2,(H,21,26)/t12-,14?/m1/s1",[O][C][C@H1][Branch1][C][O][C][N][C][=Branch1][C][=O][C][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][C][=C][Branch1][C][Cl][S][C][=Ring1][=Branch1][NH1][Ring1][=Branch2],"2-chloro-n-[1-[(2r)-2,3-dihydroxypropyl]-2-oxo-3,4-dihydroquinolin-3-yl]-6h-thieno[3,2-d]pyrrole-5-carboxamide",3.37
COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,"InChI=1S/C18H16O5/c1-20-12-6-4-11(5-7-12)14-10-23-16-9-13(21-2)8-15(22-3)17(16)18(14)19/h4-10H,1-3H3",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2][C][Ring1][=C][=O],"5,7-dimethoxy-3-(4-methoxyphenyl)chromen-4-one",3.05
O=C1CCCCCN1,"InChI=1S/C6H11NO/c8-6-4-2-1-3-5-7-6/h1-5H2,(H,7,8)",[O][=C][C][C][C][C][C][N][Ring1][#Branch1],azepan-2-one,-0.08
Nc1ccc(cc1)c2nc3ccc(O)cc3s2,"InChI=1S/C13H10N2OS/c14-9-3-1-8(2-4-9)13-15-11-6-5-10(16)7-12(11)17-13/h1-7,16H,14H2",[N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][S][Ring1][#Branch2],"2-(4-aminophenyl)-1,3-benzothiazol-6-ol",3.2
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,"InChI=1S/C22H29NO5/c1-7-22(23(2)3,17-11-9-8-10-12-17)15-28-21(24)16-13-18(25-4)20(27-6)19(14-16)26-5/h8-14H,7,15H2,1-6H3",[C][C][C][Branch2][Ring1][O][C][O][C][=Branch1][C][=O][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],"(2-dimethylamino-2-phenylbutyl) 3,4,5-trimethoxybenzoate",3.77
COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,"InChI=1S/C22H19ClN4O3S/c1-30-19-10-15(6-7-18(19)26-9-8-16(28)12-26)27-22(29)21-17(24-25-27)11-20(31-21)13-2-4-14(23)5-3-13/h2-7,10-11,16,28H,8-9,12H2,1H3/t16-/m1/s1",[C][O][C][=C][C][=Branch1][S][=C][C][=C][Ring1][=Branch1][N][C][C][C@@H1][Branch1][C][O][C][Ring1][=Branch1][N][N][=N][C][C][=C][Branch1][=Branch2][S][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],"6-(4-chlorophenyl)-3-[4-[(3r)-3-hydroxypyrrolidin-1-yl]-3-methoxyphenyl]thieno[2,3-e]triazin-4-one",3.15
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/t17-/m1/s1",[C][N][C][C][C@@H1][Branch1][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],(3r)-n-methyl-3-(2-methylphenoxy)-3-phenylpropan-1-amine,1.2
COc1cnc(nc1N(C)C)c2ccccn2,"InChI=1S/C12H14N4O/c1-16(2)12-10(17-3)8-14-11(15-12)9-6-4-5-7-13-9/h4-8H,1-3H3",[C][O][C][=C][N][=C][Branch1][#Branch2][N][=C][Ring1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],"5-methoxy-n,n-dimethyl-2-pyridin-2-ylpyrimidin-4-amine",1.9
