composition,glass formation ability
Al,FALSE
Al(NiB)2,TRUE
Al10Co21B19,TRUE
Al10Co23B17,TRUE
Al10Co27B13,TRUE
Al10Co29B11,FALSE
Al10Co31B9,FALSE
Al10Co33B7,FALSE
Al10Cr3Si7,TRUE
Al10Fe23B17,TRUE
Al10Fe27B13,TRUE
Al10Fe31B9,TRUE
Al10Fe33B7,TRUE
Al10Ni23B17,TRUE
Al10Ni27B13,TRUE
Al10Ni29B11,TRUE
Al10Ni31B9,TRUE
Al10Ni33B7,FALSE
Al10V3Ge7,FALSE
Al11(CrSi2)3,TRUE
Al11(VGe2)3,TRUE
Al11Cr2Si7,TRUE
Al11Cr4Si5,FALSE
Al11Cr5Si4,FALSE
Al11V2Cu7,TRUE
Al11V2Ge7,TRUE
Al11V4Ge5,FALSE
Al12Co21B17,TRUE
Al12Co25B13,TRUE
Al12Co27B11,FALSE
Al12Cr3Si5,TRUE
Al12Cr5Si3,FALSE
Al12CrSi7,FALSE
Al12Ni25B13,TRUE
Al12Ni27B11,FALSE
Al12Ni29B9,FALSE
Al12Ni31B7,FALSE
Al12V3Cu5,FALSE
Al12V3Ge5,TRUE
Al12VCu7,FALSE
Al12VGe7,FALSE
Al13Cr2Si5,TRUE
Al13Cr3Si4,FALSE
Al13Cr4Ge3,FALSE
Al13Cr4Si3,FALSE
Al13Cr5Si2,FALSE
Al13Fe3Ni4,FALSE
Al13Fe4Cu3,TRUE
Al13Ni6Mo,TRUE
Al13Si4Ni3,TRUE
Al13V2Cu5,TRUE
Al13V2Ge5,TRUE
Al13V3Cu4,TRUE
Al13V3Ge4,FALSE
Al13V4Cu3,FALSE
Al13VCu6,TRUE
Al13VGe6,FALSE
Al14(CrSi)3,FALSE
Al14(FeNi)3,TRUE
Al14(Ni7B5)3,FALSE
Al14(SiNi)3,TRUE
Al14Cr5Si,FALSE
Al14CrSi5,FALSE
Al14Ni25B11,FALSE
Al14Ni5Mo,TRUE
Al14VCu5,FALSE
Al14VGe5,FALSE
Al15Co2Si3,TRUE
Al15Cr2Si3,FALSE
Al15Cr3Si2,FALSE
Al15Cr4Si,FALSE
Al15CrSi4,FALSE
Al15Ni3Mo2,TRUE
Al15Ni4Mo,TRUE
Al15V2Cu3,TRUE
Al15V2Ge3,FALSE
Al15V3Cu2,FALSE
Al15VCu4,TRUE
Al16CrSi3,FALSE
Al16Ni3Mo,TRUE
Al16V3Cu,FALSE
Al16VCu3,TRUE
Al17Co2Ni,FALSE
Al17CoNi2,FALSE
Al17Cr2Si,FALSE
Al17Cr3,FALSE
Al17CrSi2,FALSE
Al17FeNi2,FALSE
Al17Ni2Mo,TRUE
Al17V2Cu,TRUE
Al18CoNi,FALSE
Al18CrSi,FALSE
Al18FeCu,TRUE
Al18FeNi,FALSE
Al19Cr5Ge26,TRUE
Al2(Co11B5)3,TRUE
Al2(Co13B3)3,TRUE
Al2(Fe13B3)3,TRUE
Al2(Ni11B5)3,TRUE
Al2(Ni13B3)3,TRUE
Al2(Ni9B7)3,TRUE
Al21(CoNi)2,FALSE
Al21(FeNi)2,TRUE
Al21Co5Ge24,TRUE
Al21Cr4,FALSE
Al21Fe5Ge24,TRUE
Al21FeCo3,FALSE
Al21FeNi3,FALSE
Al22Co2Ni,FALSE
Al22Co3,FALSE
Al22CoNi2,TRUE
Al22Cr3,FALSE
Al22Fe2Co,FALSE
Al22Fe2Ni,FALSE
Al22Fe3,FALSE
Al22FeCo2,FALSE
Al22FeNi2,FALSE
Al22Ni3,FALSE
Al23Co2,FALSE
Al23CoNi,FALSE
Al23Cr2,FALSE
Al23Fe2,FALSE
Al23FeCo,FALSE
Al23FeNi,FALSE
Al23Ni2,FALSE
Al24Co,FALSE
Al24Cr,FALSE
Al24Fe,FALSE
Al24Ni,FALSE
Al26Cr5Si19,TRUE
Al26V5Ge19,TRUE
Al27Mo23,TRUE
Al29Cr10Si11,FALSE
Al2Co31B17,TRUE
Al2Co35B13,TRUE
Al2Co37B11,TRUE
Al2Co41B7,FALSE
Al2Co43B5,FALSE
Al2Co5B3,TRUE
Al2Co7B,FALSE
Al2Cu3,FALSE
Al2Fe37B11,TRUE
Al2Fe41B7,TRUE
Al2Fe43B5,FALSE
Al2Fe5B3,TRUE
Al2Ni29B19,TRUE
Al2Ni31B17,TRUE
Al2Ni35B13,TRUE
Al2Ni37B11,TRUE
Al2Ni5B3,TRUE
Al2VGe,FALSE
Al30Cr9Si11,FALSE
Al32Ni5Ge13,TRUE
Al33Mo17,TRUE
Al33Si12Ni5,TRUE
Al34(Si7Mo15)3,TRUE
Al34Cr5Si11,TRUE
Al34V5Ge11,TRUE
Al35Fe7Cu8,FALSE
Al35Fe7Ni8,TRUE
Al35Fe8Ni7,TRUE
Al36(FeNi)7,TRUE
Al39Co5Ge6,TRUE
Al39Fe5Ge6,TRUE
Al3CrSi,FALSE
Al3Cu,FALSE
Al3Cu2,FALSE
Al3Fe80P17,TRUE
Al3VGe,FALSE
Al41Fe2Ni7,FALSE
Al42Fe3Ni5,FALSE
Al42Fe7Si,FALSE
Al42FeCo7,FALSE
Al42FeNi7,FALSE
Al43Co7,FALSE
Al43CoNi6,FALSE
Al43Cr7,FALSE
Al43Fe2Co5,FALSE
Al43Fe2Ni5,FALSE
Al43Fe3Co4,FALSE
Al43Fe3Ni4,FALSE
Al43Fe4Co3,FALSE
Al43Fe4Ni3,FALSE
Al43Fe5Co2,FALSE
Al43Fe5Ni2,FALSE
Al43Fe6Ni,FALSE
Al43Fe6Si,FALSE
Al43FeCo6,TRUE
Al43FeNi6,TRUE
Al43Ni7,FALSE
Al44(CoNi)3,FALSE
Al44(FeCo)3,FALSE
Al44(FeNi)3,FALSE
Al44Co5Ni,FALSE
Al44CoNi5,FALSE
Al44Cr5Si,FALSE
Al44Fe5Co,FALSE
Al44Fe5Ni,FALSE
Al44Fe5Si,FALSE
Al44FeCo5,FALSE
Al44FeNi5,FALSE
Al45Co2Ni3,FALSE
Al45Co3Ni2,FALSE
Al45Co4Ni,FALSE
Al45CoNi4,FALSE
Al45Fe2Co3,FALSE
Al45Fe2Ni3,FALSE
Al45Fe3Co2,FALSE
Al45Fe3Ni2,FALSE
Al45Fe4Co,FALSE
Al45Fe4Ni,FALSE
Al45Fe4Si,FALSE
Al45FeCo4,FALSE
Al45FeNi4,FALSE
Al46Co3Ni,FALSE
Al46CoNi3,FALSE
Al46Fe3Co,FALSE
Al46Fe3Ni,FALSE
Al46FeCo3,FALSE
Al46FeNi3,FALSE
Al47Co2Ni,FALSE
Al47Co3,FALSE
Al47CoNi2,FALSE
Al47Cr3,FALSE
Al47Fe2Co,FALSE
Al47Fe2Ni,FALSE
Al47Fe3,FALSE
Al47FeCo2,FALSE
Al47FeNi2,FALSE
Al47Ni3,FALSE
Al48CoNi,FALSE
Al48FeCo,FALSE
Al48FeNi,FALSE
Al49Co,FALSE
Al49Co10Si41,TRUE
Al49Fe,FALSE
Al49Ni,FALSE
Al4Co29B17,TRUE
Al4Co31B15,TRUE
Al4Co33B13,TRUE
Al4Co35B11,TRUE
Al4Co37B9,TRUE
Al4Co39B7,FALSE
Al4Co41B5,FALSE
Al4Cr,FALSE
Al4Cu,FALSE
Al4Fe35B11,TRUE
Al4Fe37B9,TRUE
Al4Fe39B7,TRUE
Al4Fe41B5,FALSE
Al4Ni,FALSE
Al4Ni25B21,TRUE
Al4Ni27B19,TRUE
Al4Ni29B17,TRUE
Al4Ni31B15,TRUE
Al4Ni33B13,TRUE
Al4Ni35B11,TRUE
Al4Ni37B9,TRUE
Al52Co23Si25,TRUE
Al52Fe23Ge25,TRUE
Al52Fe23Si25,TRUE
Al52Si25Ni23,TRUE
Al53Si16Mo31,TRUE
Al57Co18Ge25,TRUE
Al57Cr23Si20,FALSE
Al57Cr28Si15,FALSE
Al57Fe27Ni16,FALSE
Al57V18Ge25,TRUE
Al58Cr17Si25,TRUE
Al59Cr19Si22,FALSE
Al59Ni10Ge31,TRUE
Al5Fe2Cu3,FALSE
Al5V2Ge3,FALSE
Al5VCu4,FALSE
Al5VGe4,FALSE
Al6(Co3B)11,TRUE
Al6(Fe3B)11,TRUE
Al6(Ni3B)11,TRUE
Al61(Cr7Si6)3,FALSE
Al61Cr10Ge29,TRUE
Al62(CrSi)19,FALSE
Al62.5Fe12.5Cu25,FALSE
Al62Fe17Cu21,FALSE
Al62Ni13Ge25,TRUE
Al63Cr15Si22,FALSE
Al63Cr19Si18,FALSE
Al63Fe12Si25,TRUE
Al63Si6Mo31,TRUE
Al64Fe13Cu23,FALSE
Al65(Fe3Ni2)7,FALSE
Al65Si17.5Ni17.5,TRUE
